date,fx_rate,log_fx,log_return,vol_7d,vol_14d,vol_30d,event_window,epu_index,target_high_volatility
2008-07-01,3.5763695652174,1.2743481979494602,-0.021901619349095736,0.0138800254929867,0.015252594177388291,0.022518364966365247,0,87.93302,1
2008-08-01,3.5270714285714,1.260467902982899,-0.01388029496656129,0.010678823233050645,0.0155491511881298,0.02285845430210788,0,92.29638,1
2008-09-01,3.6247909090909,1.287796606392282,0.027328703409383204,0.026413846971183028,0.018763753665072994,0.021793954383026917,0,156.0435,1
2008-10-01,3.7478956521739,1.3211945230531508,0.033397916660868665,0.025723679724230293,0.021992679792009473,0.02302859785120589,0,216.59178,1
2008-11-01,3.783755,1.3307169027932884,0.009522379740137588,0.012409282650225605,0.02207428787750608,0.021542929279541982,0,156.77446,1
2008-12-01,3.9226904761905,1.3667777643416594,0.03606086154837107,0.014614054624533038,0.02488634947772036,0.02297610549750697,0,136.78456,1
2009-01-01,4.2353666666667,1.4434699044427661,0.0766921401011067,0.03383038210560137,0.030201529738174093,0.028768511699419734,0,159.99384,1
2009-02-01,4.286445,1.455457718073369,0.011987813630602862,0.032703369594183795,0.024256522214081273,0.027945473519182043,0,139.69696,1
2009-03-01,4.2828454545455,1.454617614523303,-0.0008401035500660292,0.04155810015063342,0.027908321218143847,0.02819717490244698,0,133.46071,1
2009-04-01,4.2041,1.4360602396014497,-0.018557374921853276,0.015337675333204579,0.03335419997160394,0.027966476623219844,0,119.99919,1
2009-05-01,4.170025,1.4279220309965757,-0.00813820860487402,0.008904334796354748,0.03510636404879479,0.02849965851334744,0,122.96011,1
2009-06-01,4.2131363636364,1.4382073498208963,0.0102853188243206,0.014605286555506435,0.03374056285606395,0.02826634299085832,0,113.23892,1
2009-07-01,4.218447826087,1.4394672466644016,0.0012598968435053592,0.009212391934100967,0.011486731168868938,0.026488517951719505,0,95.94823,0
2009-08-01,4.218280952381,1.4394276877997272,-3.9558864674438254e-05,0.005623609848398323,0.009755635162412585,0.02545680423094527,0,91.37744,0
2009-09-01,4.2420227272727,1.445040213806757,0.005612526007029883,0.0029602935994491627,0.01033630468136481,0.0252651415603953,0,104.3236,0
2009-10-01,4.2871090909091,1.455612634203456,0.010572420396699034,0.005309750772516625,0.007115723805110992,0.024444247046025335,0,105.04014,0
2009-11-01,4.2896095238095,1.4561957087063202,0.0005830745028641005,0.004994713308023931,0.004853034312102856,0.024635535616198384,0,133.00749,0
2009-12-01,4.2283818181818,1.4418193709745006,-0.014376337731819566,0.012556615639768058,0.008363133852454957,0.024168173006096715,0,115.26261,0
2010-01-01,4.138315,1.4202887001573583,-0.021530670817142328,0.011284105549998603,0.012268367129047539,0.011407658610404504,0,142.00355,1
2010-02-01,4.1196,1.4157560712695096,-0.0045326288878486665,0.008534406004819962,0.012173899862340874,0.010538877936558205,0,136.73906,1
2010-03-01,4.0866,1.4077133284931906,-0.008042742776319,0.008973837267064074,0.011272792876078953,0.010590496424746512,0,137.8383,0
2010-04-01,4.13064,1.418432358647698,0.010719030154507259,0.009974451752370469,0.011316549032385433,0.010276652082626382,0,152.78447,0
2010-05-01,4.1767476190476,1.4295328621065306,0.011100503458832733,0.010943898770619888,0.01322961471932285,0.01063602389344754,0,203.30524,1
2010-06-01,4.2433818181818,1.445360549958897,0.015827687852366434,0.002845762277676579,0.01438989032375594,0.01122114552180495,0,171.40265,1
2010-07-01,4.2608136363636,1.44946013649571,0.004099586536812971,0.005900670449298997,0.009474626641841545,0.01126626896445059,0,186.55523,0
2010-08-01,4.2395818181818,1.444464636592515,-0.004995499903195144,0.010439301590004956,0.009567844137340503,0.011391295257404817,0,172.81606,0
2010-09-01,4.2654909090909,1.4505572760997532,0.006092639507238262,0.005911002355485781,0.007233013176354166,0.011412016122466197,0,161.69015,0
2010-10-01,4.2787333333333,1.4536570156360447,0.0030997395362915015,0.0057363924116690165,0.007147462116686954,0.011006714224779744,0,186.14112,0
2010-11-01,4.2940090909091,1.4572208165733747,0.0035638009373299973,0.0016107879920857805,0.0066923266486353696,0.01105859259779549,0,172.68817,0
2010-12-01,4.2929304347826,1.4569695847744442,-0.00025123179893049574,0.002081619427759558,0.003969696463457351,0.010088523448969891,0,183.07599,0
2011-01-01,4.2624428571429,1.4498424365708948,-0.007127148203549316,0.005418011546605712,0.00520037186752352,0.00770554671361293,0,143.03174,0
2011-02-01,4.24568,1.445901995391518,-0.0039404411793768634,0.0034410171440528276,0.005009419541484335,0.007658424871687661,0,122.44579,0
2011-03-01,4.1621434782609,1.4260302007700647,-0.019871794621453276,0.008429997394934994,0.008755807391362926,0.009644315837507262,0,154.40152,0
2011-04-01,4.1003947368421,1.4110832463544634,-0.014946954415601343,0.008156851998664708,0.008891559391320816,0.01024745264621564,0,145.50861,0
2011-05-01,4.1141545454545,1.4144333562652247,0.0033501099107613452,0.012235831698468794,0.008840605709378693,0.009670086962001037,0,134.21508,0
2011-06-01,4.1937318181818,1.4335909862725522,0.01915763000732751,0.01706742966992532,0.013941075032023157,0.010236172590816087,0,168.29589,1
2011-07-01,4.2413428571429,1.4448799306916442,0.011288944419092006,0.007903785989854422,0.015069177971672293,0.010757663402669693,0,183.40234,1
2011-08-01,4.2504695652174,1.44702946276671,0.002149532075065741,0.008511956944538431,0.015022560248838104,0.010676507794675447,0,230.29894,1
2011-09-01,4.2838318181818,1.454847893687384,0.007818430920674135,0.004613562182279992,0.011457994434759117,0.010774075321296445,0,280.05813,0
2011-10-01,4.3243714285714,1.464266795387412,0.009418901700027904,0.0038197219702842283,0.006143734502028163,0.011070634830705648,0,241.75185,0
2011-11-01,4.3559909090909,1.471552118082976,0.007285322695564034,0.0011103956099470875,0.005625588227836848,0.011203850242061142,0,304.60022,0
2011-12-01,4.3282428571429,1.465161652988134,-0.0063904650948420905,0.008578222518984263,0.006476117102571067,0.01141405356992615,0,228.87159,0
2012-01-01,4.34165,1.4682544601923595,0.003092807204225556,0.0070063876966142144,0.00577723201052748,0.011156727702903591,0,216.73445,0
2012-02-01,4.3512714285714,1.4704680848246114,0.0022136246322519426,0.005239843756020069,0.0057734154874886714,0.01102282968143583,0,193.44436,0
2012-03-01,4.3668272727273,1.4740367208765135,0.003568636051902052,0.0006874386075048976,0.005449071829439048,0.00859501100505796,0,177.49269,0
2012-04-01,4.3789,1.4767975512945226,0.002760830418009119,0.0006816695266649429,0.004529170680288561,0.006245107921701325,0,216.99586,0
2012-05-01,4.4411590909091,1.49091539888587,0.014117847591347488,0.006336669118730344,0.006518974803580496,0.0066709074791538436,0,234.75578,0
2012-06-01,4.4625761904762,1.4957262204560742,0.004810821570204071,0.006052617011918965,0.004507366540648206,0.0053203433097064054,1,244.50211,0
2012-07-01,4.5549409090909,1.5162125578705627,0.020486337414488576,0.007883529169203677,0.007537576160122527,0.006750892011051385,1,206.98157,0
2012-08-01,4.5175652173913,1.5079731799912848,-0.008239377879277976,0.014382838279202833,0.009959454274692,0.007857272743833755,1,150.67718,0
2012-09-01,4.502165,1.5045583921905417,-0.003414787800743113,0.015382388062968955,0.010714997747501847,0.00816433809776088,0,209.91195,0
2012-10-01,4.5623695652174,1.5178421300544511,0.013283737863909462,0.011294260637551007,0.011111950501346182,0.008462201139888608,0,219.08266,0
2012-11-01,4.5273454545455,1.510135775360246,-0.007706354694205109,0.011089351434088622,0.011803874483203315,0.009091175183203268,1,233.5614,0
2012-12-01,4.4899473684211,1.5018409797302485,-0.008294795629997465,0.012292025572709052,0.012630563404523565,0.009288573227504674,1,215.66849,1
2013-01-01,4.3834863636364,1.477844381202472,-0.02399659852777658,0.00923999387745863,0.011955595034788893,0.01213475601346739,1,239.81543,0
2013-02-01,4.383855,1.4779284742812122,8.409307874024385e-05,0.012224511568172438,0.012179543726477282,0.01212775944500478,0,194.1661,1
2013-03-01,4.39231,1.4798552845943354,0.0019268103131231396,0.014464314945101406,0.012509983095381871,0.012100722315100572,0,245.34693,1
2013-04-01,4.3779761904762,1.4765865606382353,-0.003268723956100006,0.0026340895080236926,0.009324828892872469,0.012122789414031599,0,205.62408,0
2013-05-01,4.3360363636364,1.4669606505496882,-0.009625910088547185,0.005786085904196154,0.009391707469977278,0.011529059431533196,0,139.13821,0
2013-06-01,4.48029,1.499687776474716,0.03272712592502791,0.022839639094326295,0.018725336681273737,0.015245098852000026,0,177.53464,1
2013-07-01,4.4243782608696,1.4871297625698279,-0.012558013904888199,0.02534140479456512,0.01625706700271867,0.014223478883213958,0,166.71268,1
2013-08-01,4.4370818181818,1.489996912204626,0.0028671496347980607,0.023022806604517956,0.016246659955661717,0.014171896959459526,0,146.03975,1
2013-09-01,4.4633428571429,1.495898004821246,0.005901092616620085,0.0098984771035364,0.016323356364018646,0.014311819889094515,0,179.70527,1
2013-10-01,4.4444434782609,1.4916546593863957,-0.004243345434850276,0.005206943657792663,0.01639899255753917,0.013630713715085315,0,210.52538,1
2013-11-01,4.4451619047619,1.4918162923209546,0.00016163293455884187,0.005086827027677989,0.015406991118889261,0.013529697378992725,0,156.70507,1
2013-12-01,4.46346,1.495924250019887,0.004107957698932463,0.0041777501443800115,0.006830723064392749,0.013439092069287315,0,157.99862,0
2014-01-01,4.5204590909091,1.5086135574715789,0.012689307451691834,0.006405149901086347,0.005692869451274651,0.011661533730137084,0,154.50244,0
2014-02-01,4.49177,1.5022468334281898,-0.006366724043389116,0.009543679038362065,0.007018175259454903,0.011931800378968127,0,148.43662,0
2014-03-01,4.4933380952381,1.5025958765865801,0.0003490431583903497,0.00966536762776037,0.006769136393244349,0.011941688000127505,0,156.84341,0
2014-04-01,4.46201,1.495599337155297,-0.0069965394312832,0.0040713589073150805,0.007279218662280922,0.012135150973706326,0,116.48549,0
2014-05-01,4.4236523809524,1.486965685398712,-0.008633651756584815,0.004784114830751403,0.008223392912652698,0.01205493586557243,0,146.29191,0
2014-06-01,4.3929619047619,1.48000369315133,-0.006961992247382032,0.000955316334020724,0.008141159016510862,0.0072425658077746105,0,111.7961,0
2014-07-01,4.4097826086957,1.483825393163372,0.003821700012041962,0.00676040250208159,0.0049962864525187065,0.0065037242614011765,0,119.93393,0
2014-08-01,4.4252333333333,1.4873230077664694,0.0034976146030973876,0.006134552762356993,0.005688607515788849,0.0065338946610199785,0,133.31537,0
2014-09-01,4.4095272727273,1.4837674893201225,-0.003555518446346939,0.004168834156536888,0.005520082581392438,0.006294021365370863,0,190.21558,0
2014-10-01,4.4152652173913,1.4850679041409889,0.0013004148208664024,0.0036091194815317524,0.005398066089009971,0.006238399108384373,1,150.03065,0
2014-11-01,4.42875,1.4881173771975447,0.003049473056555785,0.0034221144867095073,0.00444340061959688,0.006323421825906933,1,152.42489,0
2014-12-01,4.4583047619048,1.4947685955487078,0.006651218351163113,0.002728335032545735,0.003416892058561766,0.006524322035300153,1,176.02395,0
2015-01-01,4.487419047619,1.5012777141238836,0.006509118575175776,0.0020396857857716126,0.0037870515265977685,0.0056020402469671715,0,168.98523,0
2015-02-01,4.433425,1.4891724230375678,-0.01210529108631575,0.010788289064771434,0.00715831575687267,0.006334995400740481,0,155.09365,0
2015-03-01,4.4338954545455,1.4892785327802691,0.00010610974270131024,0.009457035118202539,0.006914985076409998,0.006330366753483872,0,131.74544,0
2015-04-01,4.41549,1.4851188131749762,-0.004159719605292933,0.006197415004031565,0.007207756695461379,0.006140673149461528,0,147.32096,0
2015-05-01,4.447715,1.4923904811544642,0.007271667979487972,0.005776664940148949,0.007749759324047116,0.00602890633624096,0,165.58477,0
2015-06-01,4.4671454545455,1.496749603860334,0.004359122705869911,0.005940401451176223,0.007449110869035434,0.005636254527299359,0,193.94799,0
2015-07-01,4.4391173913043,1.490455570941354,-0.006294032918980008,0.007141438762658925,0.007152995986764457,0.00598601398569943,0,184.48753,0
2015-08-01,4.4234857142857,1.48692800843133,-0.0035275625100239516,0.005527852008774939,0.005299294555582136,0.00601525829993985,0,143.71116,0
2015-09-01,4.4235727272727,1.4869476789212623,1.9670489932233082e-05,0.00316488733910389,0.005297845369334558,0.0059125869866272435,0,194.46083,0
2015-10-01,4.4227136363636,1.4867534525811945,-0.0001942263400678268,0.001989126434384494,0.004970521570567083,0.005904530026302064,0,164.83114,0
2015-11-01,4.4452523809524,1.4918366459709862,0.005083193389791685,0.002987088186857975,0.004401961881126607,0.006023603585490619,0,164.40215,0
2015-12-01,4.5033318181818,1.5048175268528234,0.012980880881837242,0.006630838019383647,0.006864258421480968,0.00684984423362784,0,147.41888,0
2016-01-01,4.531075,1.5109592181853948,0.006141691332571364,0.0042869647247532625,0.005907244912385466,0.006822955231680253,0,209.74029,0
2016-02-01,4.4813571428571,1.499925934225213,-0.011033283960181883,0.012372243147850102,0.008070641641396255,0.0066431758665023224,0,227.79281,0
2016-03-01,4.4666,1.4966274928042371,-0.003298441420975795,0.008601585821013794,0.00835579827929093,0.00675179435527568,0,227.75331,0
2016-04-01,4.4724142857143,1.4979283714802103,0.0013008786759731716,0.006233151990173683,0.008313299184010406,0.006582828104806671,0,207.01125,0
2016-05-01,4.4990590909091,1.5038682840046333,0.005939912524423052,0.004619191199436899,0.008386713764185934,0.006479132182125274,1,198.46472,0
2016-06-01,4.5230363636364,1.509183530179594,0.005315246174960597,0.002517471930070063,0.006817376822470702,0.006530455709536865,1,433.2775,0
2016-07-01,4.4855523809524,1.5008616497892564,-0.008321880390337544,0.008059778389732868,0.007072481470602603,0.0067595984477473005,1,424.37718,0
2016-08-01,4.4591304347826,1.4949537772432082,-0.005907872546048187,0.007277328363441621,0.005935362907937385,0.0069329861707252425,0,213.36659,0
2016-09-01,4.4502409090909,1.4929582315871608,-0.001995545656047426,0.0031926020405723863,0.0058501560451800225,0.0069744225590542015,0,232.698,0
2016-10-01,4.4941761904762,1.5027823787080536,0.009824147120892857,0.008190521776587254,0.00726994120159613,0.007465949587560196,0,241.63064,0
2016-11-01,4.5100318181818,1.5063042085189244,0.0035218298108707913,0.0059141887702430255,0.0069902631249527435,0.007408084495115184,1,392.83106,0
2016-12-01,4.5163714285714,1.5077088901531703,0.0014046816342458968,0.0043796673952640214,0.006613118914382591,0.006423625442929468,1,288.42847,0
2017-01-01,4.5018090909091,1.5044793361898265,-0.0032295539633437897,0.003453009287623489,0.005621817959266657,0.006207032969340661,1,320.02379,0
2017-02-01,4.513625,1.5071006000662783,0.002621263876451785,0.0030872933485630873,0.004638591247888568,0.00529276461985789,1,237.06756,0
2017-03-01,4.547647826087,1.5146101379927357,0.007509537926457366,0.005376730530722553,0.00461411552040809,0.005485535247144681,1,267.06935,0
2017-04-01,4.5291166666667,1.5105269241598713,-0.004083213832864363,0.005820039202272541,0.004353089091370695,0.005718418536642612,0,249.2189,0
2017-05-01,4.5539409090909,1.515992991951501,0.005466067791629614,0.006188112839537477,0.0046167617449533165,0.005683108955247857,0,197.58968,0
2017-06-01,4.5720636363636,1.519964664550398,0.003971672598896969,0.005136522688300205,0.004711367476833767,0.005603261899633727,0,274.39018,0
2017-07-01,4.568880952381,1.5192683067330386,-0.0006963578173593277,0.0032145298864552033,0.004233710877573959,0.0048434165620262004,0,181.41523,0
